"document"	"useremail"	"claimlabel"	"claimtext"	"method"	"relationship"	"drug1"	"drug2"	"precipitant"	"enzyme"	"rejected"	"evRelationship"	"participants"	"participantstext"	"drug1dose"	"drug1formulation"	"drug1duration"	"drug1regimens"	"drug1dosetext"	"drug2dose"	"phenotypetype"	"phenotypevalue"	"phenotypemetabolizer"	"phenotypepopulation"	"drug2formulation"	"drug2duration"	"drug2regimens"	"drug2dosetext"	"aucvalue"	"auctype"	"aucdirection"	"auctext"	"cmaxvalue"	"cmaxtype"	"cmaxdirection"	"cmaxtext"	"clearancevalue"	"clearancetype"	"clearancedirection"	"clearancetext"	"halflifevalue"	"halflifetype"	"halflifedirection"	"halflifetext"	"dipsquestion"	"reviewer"	"reviewerdate"	"reviewertotal"	"reviewerlackinfo"	"grouprandomization"	"parallelgroupdesign"	"id"
"http://localhost/springer/springer22922682.html"	"annotat4@gmail.com"	"ticagrelor_interact with_simvastatin"	"For simvastatin, volunteers (n = 24) received simvastatin 80 mg, or ticagrelor (loading dose 270 mg; 180 mg twice daily, 7 days) plus simvastatin (80 mg; day 5)"	"DDI clinical trial"	"interact with"	"ticagrelor"	"simvastatin"	"drug1"	""	""	"supports"	"24"	"Of the 24 volunteers randomised and treated in the simvastatin study, 18 (75 %) were male, 14 (58 %) were Caucasian, and 10 (42 %) were black"	"180"	"Oral"	"7"	"BID"	""	"80"	""	""	""	""	"Oral"	"1"	"SD"	""	"56"	"Percent"	"Increase"	"Simvastatin Cmax and AUC were increased by 81 % and 56 % with ticagrelor."	"81"	"Percent"	"Increase"	"Simvastatin Cmax and AUC were increased by 81 % and 56 % with ticagrelor."	""	""	""	""	"unchanged"	""	""	"Simvastatin tmax and t½ values were similar with or without co-administration of ticagrelor"	"undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined"	""	""	""	""	""	""	"AVml8_I11_rzbHfMC-Rr"
"http://localhost/springer/springer22922682.html"	"annotat4@gmail.com"	"Ticagrelor_interact with_atorvastatin"	"Ticagrelor increased mean atorvastatin maximum plasma concentration (Cmax) and area under the plasma concentration-time curve from zero to infinity (AUC) by 23 % and 36 %, respectively."	"DDI clinical trial"	"interact with"	"Ticagrelor"	"atorvastatin"	"drug1"	""	""	"supports"	"24"	"Of the 24 volunteers randomised and treated in the atorvastatin study, 19 (79 %) were male; 18 were Hispanic (75 %), five (21 %) were black, and one (4 %) was Caucasian. Mean (standard deviation [SD]) age was 32.5 (8.8) years and mean (SD) BMI was 24.8 (2.9) kg/m2"	"90"	"Oral"	"7"	"BID"	""	"80"	""	""	""	""	"Oral"	"1"	"SD"	""	"36"	"Percent"	"Increase"	"The atorvastatin median tmax was unchanged during co-administration with ticagrelor (Table 1). However, relative to administration with placebo, Cmax and AUC of atorvastatin were increased in the presence of ticagrelor (Table 1, Fig. 2a): Cmax increased by 23 % and AUC by 36 %"	"23"	"Percent"	"Increase"	"The atorvastatin median tmax was unchanged during co-administration with ticagrelor (Table 1). However, relative to administration with placebo, Cmax and AUC of atorvastatin were increased in the presence of ticagrelor (Table 1, Fig. 2a): Cmax increased by 23 % and AUC by 36 %"	""	""	""	""	"unchanged"	""	""	"However, in general, tmax and t½ of the atorvastatin metabolites were unchanged during ticagrelor co-administration"	"undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined"	""	""	""	""	""	""	"AVmliJsL1_rzbHfMC-Ra"
"http://localhost/springer/springer15625612.html"	"annotat2@gmail.com"	"fluconazole_interact with_atorvastatin"	"to our knowledge, there are no reported cases of rhabdomyolysis associated with concomitant intake of fluconazole and atorvastatin. We describe a fatal case of rhabdomyolysis in a 76-year-old male after use of this drug combination."	"Case Report"	"interact with"	"fluconazole"	"atorvastatin"	"drug1"	""	""	""	""	""	"150"	"UNK"	"547.5"	"Daily"	""	"40"	""	""	""	""	"UNK"	"7"	"Daily"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Yes|Yes|Yes|Yes|NA|UNK/NA|Yes|UNK/NA|Yes|NA"	"External"	"01/16/2017"	4	""	""	""	"AVmlxI1u1_rzbHfMC-Rk"
"http://localhost/springer/springer23831870.html"	"annotat4@gmail.com"	"rifampin_interact with_pitavastatin"	"Co-treatment of rifampin significantly increased the Cmax of pitavastatin by 819.2 % (95 % C I, 515.4–1123.0 %, p < 0.001) and the AUC(0–48 h) by 573.5 % (95 % CI, 373.3–773.7 %, p < 0.001). Co-treating with rifampin, the CL/F of pitavastatin was significantly decreased by 81.4  %(95 % CI, 75.0–87.7 %, p < 0.001)"	"DDI clinical trial"	"interact with"	"rifampin"	"pitavastatin"	"drug1"	""	""	"supports"	"12"	"Twelve unrelated healthy adult men (mean ± SD: age 24.1 ± 1.9 years; mass index 25.6 ± 4.3 kg/m2) were recruited for the study."	"600"	"Oral"	"UNK"	"SD"	""	"4"	""	""	""	""	"Oral"	"Unk"	"SD"	""	"573.5"	"Percent"	"Increase"	"Co-treatment of rifampin significantly increased the Cmax of pitavastatin by 819.2 % (95 % C I, 515.4–1123.0 %, p < 0.001) and the AUC(0–48 h) by 573.5 % (95 % CI, 373.3–773.7 %, p < 0.001). Co-treating with rifampin, the CL/F of pitavastatin was significantly decreased by 81.4  %(95 % CI, 75.0–87.7 %, p < 0.001) compared with non co-treatment of rifampin. Meanwhile, rifampin decreased the t1/2 of pitavastatin by 38.8 % (95 % CI, 18.2–59.4 %, p < 0.001)"	"819.2"	"Percent"	"Increase"	"Co-treatment of rifampin significantly increased the Cmax of pitavastatin by 819.2 % (95 % C I, 515.4–1123.0 %, p < 0.001) and the AUC(0–48 h) by 573.5 % (95 % CI, 373.3–773.7 %, p < 0.001). Co-treating with rifampin, the CL/F of pitavastatin was significantly decreased by 81.4  %(95 % CI, 75.0–87.7 %, p < 0.001) compared with non co-treatment of rifampin. Meanwhile, rifampin decreased the t1/2 of pitavastatin by 38.8 % (95 % CI, 18.2–59.4 %, p < 0.001)"	"81.4"	"Percent"	"Decrease"	"Co-treatment of rifampin significantly increased the Cmax of pitavastatin by 819.2 % (95 % C I, 515.4–1123.0 %, p < 0.001) and the AUC(0–48 h) by 573.5 % (95 % CI, 373.3–773.7 %, p < 0.001). Co-treating with rifampin, the CL/F of pitavastatin was significantly decreased by 81.4  %(95 % CI, 75.0–87.7 %, p < 0.001) compared with non co-treatment of rifampin. Meanwhile, rifampin decreased the t1/2 of pitavastatin by 38.8 % (95 % CI, 18.2–59.4 %, p < 0.001)"	"38.8"	"Percent"	"Decrease"	"Co-treatment of rifampin significantly increased the Cmax of pitavastatin by 819.2 % (95 % C I, 515.4–1123.0 %, p < 0.001) and the AUC(0–48 h) by 573.5 % (95 % CI, 373.3–773.7 %, p < 0.001). Co-treating with rifampin, the CL/F of pitavastatin was significantly decreased by 81.4  %(95 % CI, 75.0–87.7 %, p < 0.001) compared with non co-treatment of rifampin. Meanwhile, rifampin decreased the t1/2 of pitavastatin by 38.8 % (95 % CI, 18.2–59.4 %, p < 0.001)"	"undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined"	""	""	""	""	""	""	"AVmXPW8J1_rzbHfMC-RQ"
"http://localhost/elsevier/elsevier10456002.html"	"annotat4@gmail.com"	"CsA_interact with_lovastatin"	"The three groups taking CsA had a significantly higher AUC0–8 of lovastatin than the other two (Table 2)."	"DDI clinical trial"	"interact with"	"CsA"	"lovastatin"	"drug1"	""	""	"supports"	"29"	"Lovastatin plasma levels was studied in five groups of patients: (1) six heart and (2) five kidney transplant recipients receiving triple immunosuppressive regimen with CsA, prednisolone, and azathioprine; (3) five kidney transplant recipients receiving prednisolone and azathioprine; (4) five patients with psoriasis treated with CsA monotherapy; and (5) eight hypercholesterolemic “control” patients."	"273"	"UNK"	"UNK"	"Daily"	""	"10"	""	""	""	""	"UNK"	"10"	"QD"	""	"6.73"	"UNK"	"Increase"	"Table 2.
        Plasma AUC0–8 of Lovastatin Among the Five Groups legend"	""	""	""	""	""	""	""	""	""	""	""	""	"undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined"	""	""	""	""	""	""	"AVlPHWd71_rzbHfMC-N7"
"http://localhost/elsevier/elsevier10456002.html"	"annotat4@gmail.com"	"CsA_interact with_lovastatin"	"The three groups taking CsA had a significantly higher AUC0–8 of lovastatin than the other two (Table 2)."	"DDI clinical trial"	"interact with"	"CsA"	"lovastatin"	"drug1"	""	""	"supports"	"29"	"Lovastatin plasma levels was studied in five groups of patients: (1) six heart and (2) five kidney transplant recipients receiving triple immunosuppressive regimen with CsA, prednisolone, and azathioprine; (3) five kidney transplant recipients receiving prednisolone and azathioprine; (4) five patients with psoriasis treated with CsA monotherapy; and (5) eight hypercholesterolemic “control” patients."	"230"	"UNK"	"UNK"	"Daily"	""	"10"	""	""	""	""	"UNK"	"10"	"QD"	""	"4.23"	"UNK"	"Increase"	"Table 2.
        Plasma AUC0–8 of Lovastatin Among the Five Groups legend"	""	""	""	""	""	""	""	""	""	""	""	""	"undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined"	""	""	""	""	""	""	"AVlPHWd71_rzbHfMC-N7"
"http://localhost/elsevier/elsevier10456002.html"	"annotat4@gmail.com"	"CsA_interact with_lovastatin"	"The three groups taking CsA had a significantly higher AUC0–8 of lovastatin than the other two (Table 2)."	"DDI clinical trial"	"interact with"	"CsA"	"lovastatin"	"drug1"	""	""	"supports"	"29"	"Lovastatin plasma levels was studied in five groups of patients: (1) six heart and (2) five kidney transplant recipients receiving triple immunosuppressive regimen with CsA, prednisolone, and azathioprine; (3) five kidney transplant recipients receiving prednisolone and azathioprine; (4) five patients with psoriasis treated with CsA monotherapy; and (5) eight hypercholesterolemic “control” patients."	"290"	"UNK"	"UNK"	"Daily"	""	"10"	""	""	""	""	"UNK"	"10"	"UNK"	""	"4.23"	"UNK"	"Increase"	"Table 2.
        Plasma AUC0–8 of Lovastatin Among the Five Groups legend"	""	""	""	""	""	""	""	""	""	""	""	""	"undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined"	""	""	""	""	""	""	"AVlPHWd71_rzbHfMC-N7"
"http://localhost/wiley/wiley16198653.html"	"rdb20@pitt.edu"	"pitavastatin_substrate of_OATP1B1"	"OATP1B1 variant haplotypes were found to have a significant effect on the pharmacokinetics of pitavastatin. These results suggest that the *15 allele is associated with decreased pitavastatin uptake from blood into hepatocytes and that OATP1B1 genetic polymorphisms have no effect on the pharmacokinetics of pitavastatin lactone."	"Phenotype clinical study"	"substrate of"	"pitavastatin"	""	""	"OATP1B1"	""	"supports"	"24"	"Twenty-four healthy, unrelated Korean male subjects were enrolled in a PK study"	""	""	""	""	""	""	"Genotype"	"UNK"	""	"Asian"	""	""	""	""	"1.8"	"Fold"	"Increase"	"Mean dose-normalized AUC and Cmax values in genotype group 3 (OATP1B1*15/*1a or OATP1B1*15/*1b) were 68.1 ng · h · mL−1 · mg−1 and 29.4 ng · mL−1 · mg−1, respectively, which were 1.8- and 2.2-fold higher than those values (38.8 ng · h · mL−1 · mg−1 and 13.2 ng · mL−1 · mg−1, respectively) in group 1 (OATP1B1*1b/*1b) (Table II and Fig 3)"	"2.2"	"Fold"	"Increase"	"Mean dose-normalized AUC and Cmax values in genotype group 3 (OATP1B1*15/*1a or OATP1B1*15/*1b) were 68.1 ng · h · mL−1 · mg−1 and 29.4 ng · mL−1 · mg−1, respectively, which were 1.8- and 2.2-fold higher than those values (38.8 ng · h · mL−1 · mg−1 and 13.2 ng · mL−1 · mg−1, respectively) in group 1 (OATP1B1*1b/*1b) (Table II and Fig 3)"	""	""	""	""	""	""	""	""	"undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined"	""	""	""	""	""	""	"AVlRjOQq1_rzbHfMC-OW"
"http://localhost/elsevier/elsevier9726762.html"	"rdb20@pitt.edu"	"gemfibrozil_interact with_warfarin"	"The following describes a patient on a stable regimen of warfarin who developed severe hypoprothrombinemia and bleeding 4 weeks after starting gemfibrozil."	"Case Report"	"interact with"	"gemfibrozil"	"warfarin"	"drug1"	""	""	""	""	""	"1200"	"UNK"	"35"	"Daily"	""	"7.5"	""	""	""	""	"UNK"	"1095"	"Daily"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Yes|Yes|Yes|Yes|NA|UNK/NA|No|UNK/NA|Yes|NA"	"External"	"01/02/2017"	6	""	""	""	"AVlVZaNd1_rzbHfMC-O7"
"http://localhost/elsevier/elsevier15883150.html"	"annotat1@gmail.com"	"linezolid_interact with_fluoxetine"	"We present a case of suspected serotonin syndrome caused by the administration of linezolid 18 days after the discontinuation of fluoxetine. It presents the possibility of this antibiotic interacting with norfluoxetine (fluoxetine’s active metabolite), an interaction not previously recognized"	"Case Report"	"interact with"	"linezolid"	"fluoxetine"	"drug1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Yes|Yes|Yes|Yes|NA|UNK/NA|No|UNK/NA|NA|NA"	"External"	"12/31/2016"	5	""	""	""	"AVlUKc5B1_rzbHfMC-Ou"
"http://localhost/elsevier/elsevier9468088.html"	"annotat4@gmail.com"	"atorvastatin_interact with_gemfibrozil"	"The following report describes a case of rhabdomyolysis that occurred in an acutely ill patient who was taking atorvastatin in combination with gemfibrozil."	"Case Report"	"interact with"	"atorvastatin"	"gemfibrozil"	"drug2"	""	""	""	""	""	"10"	"Oral"	"UNK"	"BID"	""	"600"	""	""	""	""	"Oral"	"Unk"	"BID"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Yes|Yes|Yes|Yes|NA|UNK/NA|Yes|UNK/NA|Yes|NA"	"External"	"12/30/2016"	4	""	""	""	"AVlOfjyh1_rzbHfMC-Nj"
"http://localhost/elsevier/elsevier21601733.html"	"annotat4@gmail.com"	"warfarin_interact with_quetiapine"	"atient with dementia who developed multiple intracerebral hemorrhages (ICHs) 3 days after the addition of quetiapine to his stable warfarin regimen."	"Case Report"	"interact with"	"warfarin"	"quetiapine"	"drug2"	""	""	""	""	""	"3.75"	"Oral"	"365"	"Daily"	""	"12.5"	""	""	""	""	"UNK"	"3"	"Daily"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Yes|UNK|Yes|Yes|NA|UNK/NA|Yes|UNK/NA|Yes|NA"	"External"	"12/30/2016"	3	""	""	""	"AVlODABH1_rzbHfMC-NN"
"http://localhost/elsevier/elsevier20633751.html"	"annotat5@gmail.com"	"quetiapine_interact with_valproate"	"Sodium valproate 1000 mg/day and quetiapine 50 mg/day were initially prescribed, and the dosage of quetiapine was titrated up to 300 mg/day gradually over 3 weeks. At 300 mg/day, the patient became confused, and auditory and visual hallucinations were noted. These symptoms fluctuated over the course of a day. He was diagnosed with delirium"	"Case Report"	"interact with"	"quetiapine"	"valproate"	"drug1"	""	""	""	""	""	"300"	"UNK"	"UNK"	"Daily"	""	"1000"	""	""	""	""	"UNK"	"UNK"	"Daily"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Yes|UNK|UNK/NA|Yes|NA|UNK/NA|Yes|UNK/NA|NA|NA"	"External"	"12/31/2016"	1	""	""	""	"AVlT0fsQ1_rzbHfMC-On"
"http://localhost/elsevier/elsevier20633751.html"	"annotat5@gmail.com"	"quetiapine_interact with_valproate"	"The night after the initiation of quetiapine treatment, the patient became abruptly confused, disoriented with visual hallucinations, and more agitated. The disorientation and confusion fluctuated over the course of a day. At this time, the plasma level of valproate was 103 μg/ml. Neurologic, physical and laboratory examinations did not reveal any pathology. She met the diagnostic criteria for delirium according to the Diagnostic and Statistical Manual for Mental Disorders, Fourth edition. After discontinuation of quetiapine and the addition of 5 mg/day of oral haloperidol, the delirium fully resolved within 2 days, but mania persisted"	"Case Report"	"interact with"	"quetiapine"	"valproate"	"drug1"	""	""	""	""	""	"100"	"UNK"	"UNK"	"Daily"	""	"1000"	""	""	""	""	"UNK"	"UNK"	"Daily"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Yes|UNK|UNK/NA|Yes|NA|UNK/NA|Yes|UNK/NA|NA|NA"	"External"	"12/31/2016"	1	""	""	""	"AVlTvg0k1_rzbHfMC-Ok"
"http://localhost/elsevier/elsevier15935493.html"	"rdb20@pitt.edu"	"ciprofloxacin_interact with_olanzapine"	"In the present case report, an elderly woman receiving a long-term medication with azathioprine, olanzapine and valsartan developed a marked QT interval prolongation after intravenous administration of ciprofloxacin."	"Case Report"	"interact with"	"ciprofloxacin"	"olanzapine"	"drug1"	""	""	""	""	""	"800"	"IV"	"UNK"	"Daily"	""	"10"	""	""	""	""	"UNK"	"UNK"	"Daily"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NA|Yes|Yes|Yes|NA|UNK/NA|UNK/NA|UNK/NA|Yes|NA"	"External"	"12/31/2016"	4	""	""	""	"AVlRgg3W1_rzbHfMC-OS"
"http://localhost/elsevier/elsevier16005413.html"	"annotat5@gmail.com"	"escitalopram_interact with_oxycodone"	"She was on escitalopram 10 mg per day and extended release oxycodone 20 mg twice daily. Approximately 5 weeks prior to this episode, her extended release oxycodone dose had been doubled. Her evaluation in the emergency room, including a computed tomography (CT) scan of the head, was normal. She was administered intravenous lorazepam, and her escitalopram and oxycodone were stopped. In less than a day, her myoclonic jerks resolved and her blood pressure returned to baseline. Later, her prior dose of oxycodone (20 mg twice daily) was restarted, but not her escitalopram. Neither myoclonus nor blood pressure elevation recurred."	"Case Report"	"interact with"	"escitalopram"	"oxycodone"	"drug1"	""	""	""	""	""	"10"	"UNK"	"UNK"	"QD"	""	"20"	""	""	""	""	"UNK"	"UNK"	"BID"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"No|Yes|No|Yes|NA|UNK/NA|No|UNK/NA|NA|NA"	"External"	"12/30/2016"	1	""	""	""	"AVlPamGQ1_rzbHfMC-OH"
"http://localhost/elsevier/elsevier16005413.html"	"annotat5@gmail.com"	"hydrocodone_interact with_escitalopram"	"Her antidepressant was changed to escitalopram at 10 mg per day. When she was seen a few weeks later, she complained of seeing strangers in her room, especially at night, which was extremely frightening to her. A diagnosis of complex visual hallucinations was made after ruling out acute infectious and metabolic problems. At the same visit, her hydrocodone was discontinued, as her pain had improved. On a routine visit a month later, she reported that, to her great relief, she was no longer experiencing the visual hallucinations"	"Case Report"	"interact with"	"hydrocodone"	"escitalopram"	"drug1"	""	""	""	""	""	"10"	"UNK"	"UNK"	"QD"	""	"10"	""	""	""	""	"UNK"	"UNK"	"QD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"No|Yes|No|Yes|NA|UNK/NA|No|UNK/NA|NA|NA"	"External"	"12/30/2016"	1	""	""	""	"AVlPhblW1_rzbHfMC-OL"
"http://localhost/elsevier/elsevier16005413.html"	"annotat5@gmail.com"	"tramadol_interact with_mirtazapine"	"85-year-old female LTC resident, was seen for recurrent episodes of lethargy, confusion, hypotension, bronchospasm, and hypoxia. No associated motor symptoms were noted. Evaluations were negative for infection, metabolic derangements, or pulmonary embolus. Review of her medications showed that she was on mirtazapine 22.5 mg once daily, which was begun 4 days prior to the episode and tramadol 100 mg 3 times daily, which was started several months earlier."	"Case Report"	"interact with"	"tramadol"	"mirtazapine"	"drug1"	""	""	""	""	""	"100"	"UNK"	"UNK"	"TID"	""	"22.5"	""	""	""	""	"UNK"	"UNK"	"QD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Yes|Yes|Yes|Yes|NA|UNK/NA|UNK/NA|UNK/NA|NA|NA"	"External"	"12/30/2016"	4	""	""	""	"AVlPkqEp1_rzbHfMC-OO"
"http://localhost/elsevier/elsevier16005413.html"	"annotat5@gmail.com"	"Sertraline_interact with_oxycodone"	"Probable serotonin syndrome precipitated by the increase in opiate dose was considered. Sertraline was rapidly tapered off along with a reduction in her oxycodone dose. She showed dramatic improvement within 2 days and had no tremors, myoclonus, or rigidity. She was able to walk with her front-wheel walker and her agitation improved"	"Case Report"	"interact with"	"Sertraline"	"oxycodone"	"drug1"	""	""	""	""	""	"150"	"UNK"	"UNK"	"QD"	""	"20"	""	""	""	""	"UNK"	"UNK"	"BID"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"No|Yes|No|Yes|NA|UNK/NA|No|UNK/NA|NA|NA"	"External"	"12/30/2016"	1	""	""	""	"AVlPFtj61_rzbHfMC-N5"
"http://localhost/elsevier/elsevier11959068.html"	"rdb20@pitt.edu"	"delavirdine_interact with_atorvastatin"	"We report a patient who developed acute tubular necrosis caused by severe rhabdomyolysis, which was probably associated with the coadministration of atorvastatin and delavirdine"	"Case Report"	"interact with"	"delavirdine"	"atorvastatin"	"drug1"	""	""	""	""	""	"400"	"UNK"	"1825"	"Daily"	""	"20"	""	""	""	""	"UNK"	"1825"	"Daily"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NA|Yes|Yes|Yes|NA|UNK/NA|UNK/NA|UNK/NA|Yes|NA"	"External"	"12/31/2016"	4	""	""	""	"AVlRhvWu1_rzbHfMC-OU"
"http://localhost/elsevier/elsevier16005413.html"	"annotat5@gmail.com"	"escitalopram_interact with_oxycodone"	"She was on escitalopram 10 mg per day and extended release oxycodone 20 mg twice daily. Approximately 5 weeks prior to this episode, her extended release oxycodone dose had been doubled. Her evaluation in the emergency room, including a computed tomography (CT) scan of the head, was normal. She was administered intravenous lorazepam, and her escitalopram and oxycodone were stopped. In less than a day, her myoclonic jerks resolved and her blood pressure returned to baseline. Later, her prior dose of oxycodone (20 mg twice daily) was restarted, but not her escitalopram. Neither myoclonus nor blood pressure elevation recurred."	"Case Report"	"interact with"	"escitalopram"	"oxycodone"	""	""	""	""	""	""	"10"	"UNK"	"UNK"	"QD"	""	"20"	""	""	""	""	"UNK"	"UNK"	"BID"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined"	"Author"	"12/30/2016"	"NA"	""	""	""	"AVlPSIGy1_rzbHfMC-OC"
"http://localhost/elsevier/elsevier16005413.html"	"annotat5@gmail.com"	"escitalopram_interact with_oxycodone"	"She was on escitalopram 10 mg per day and extended release oxycodone 20 mg twice daily. Approximately 5 weeks prior to this episode, her extended release oxycodone dose had been doubled. Her evaluation in the emergency room, including a computed tomography (CT) scan of the head, was normal. She was administered intravenous lorazepam, and her escitalopram and oxycodone were stopped. In less than a day, her myoclonic jerks resolved and her blood pressure returned to baseline. Later, her prior dose of oxycodone (20 mg twice daily) was restarted, but not her escitalopram. Neither myoclonus nor blood pressure elevation recurred."	"Case Report"	"interact with"	"escitalopram"	"oxycodone"	"drug1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"AVlPRvOK1_rzbHfMC-OB"
"http://localhost/elsevier/elsevier10456002.html"	"annotat5@gmail.com"	"CsA_interact with_lovastatin"	"The three groups taking CsA had a significantly higher AUC0–8 of lovastatin than the other two (Table 2)."	"DDI clinical trial"	"interact with"	"CsA"	"lovastatin"	"drug1"	""	""	"supports"	"29"	"Lovastatin plasma levels was studied in five groups of patients: (1) six heart and (2) five kidney transplant recipients receiving triple immunosuppressive regimen with CsA, prednisolone, and azathioprine; (3) five kidney transplant recipients receiving prednisolone and azathioprine; (4) five patients with psoriasis treated with CsA monotherapy; and (5) eight hypercholesterolemic “control” patients."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined"	""	""	""	""	""	""	"AVlOMVRo1_rzbHfMC-NZ"
"http://localhost/elsevier/elsevier16005413.html"	"annotat5@gmail.com"	"Sertraline_interact with_oxycodone"	"Probable serotonin syndrome precipitated by the increase in opiate dose was considered. Sertraline was rapidly tapered off along with a reduction in her oxycodone dose. She showed dramatic improvement within 2 days and had no tremors, myoclonus, or rigidity. She was able to walk with her front-wheel walker and her agitation improved."	"Case Report"	"interact with"	"Sertraline"	"oxycodone"	"drug2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"No|undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined"	"Author"	"12/29/2016"	"NA"	""	""	""	"AVlKpUgI1_rzbHfMC-NF"
"http://localhost/wiley/wiley16882112.html"	"rdb20@pitt.edu"	"lithium_interact with_venlafaxine"	"We report a case of the serotonin syndrome during treatment with lithium and venlafaxine, an antidepressant with a dual selective re-uptake inhibition mechanism, and review the literature for similar cases."	"Case Report"	"interact with"	"lithium"	"venlafaxine"	"drug1"	""	""	""	""	""	"400"	"Oral"	"UNK"	"Daily"	""	"150"	""	""	""	""	"Oral"	"UNK"	"Daily"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Yes|Yes|Yes|Yes|NA|UNK/NA|UNK/NA|Yes|Yes|NA"	"External"	"12/28/2016"	6	""	""	""	"AVlGe1JX1_rzbHfMC-M0"
"http://localhost/wiley/wiley18784280.html"	"rdb20@pitt.edu"	"Aliskiren_substrate of_atorvastatin"	"Aliskiren AUCτwas significantly increased by coadministration with atorvastatin (by 47%, P < .001) or ketoconazole (by 76%, P < .001) through mechanisms most likely involving transporters such as P-glycoprotein and organic anion-transporting peptide and possibly through metabolic pathways such as CYP3A4 in the gut wall. These results indicate that aliskiren is a substrate for but not an inhibitor of P-glycoprotein."	"DDI clinical trial"	"substrate of"	"Aliskiren"	"atorvastatin"	""	"P_Glycoprotein"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"AVlGYcjD1_rzbHfMC-Mu"
